Name,Short,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
(G)I-DLE,,(여자)아이들,2018-05-02,Cube,6,6,,Yes
15&,,피프틴앤드,2012-10-05,JYP,2,2,,No
2EYES,,투아이즈,2013-07-20,SidusHQ,4,5,,No
2NE1,,투애니원,2009-05-06,YG,4,4,Blackjack,No
3YE,,써드아이,2019-05-21,GH,3,3,,Yes
4Minute,,포미닛,2009-06-15,Cube,5,5,4nia,No
4TEN,,포텐,2014-08-26,Jungle,4,4,,Yes
9Muses,Nine Muses,나인뮤지스,2010-08-12,Star Empire,4,9,MINE,No
A.DE,,에이디이,2016-07-23,2ABLE,6,7,,No
ABRY,,에이브리,2017-11-15,withHC,4,4,,Yes
After School,,애프터스쿨,2009-01-15,Pledis,6,5,Playgirlz,No
AiRiSu,,아이리수,2018-07-25,Jang,4,4,,Yes
ANS,,에이엔에스,2019-09-16,ANS,8,6,,Yes
AOA,,에이오에이,2012-07-30,FNC,5,8,ELVIS,Yes
Apink,,에이핑크,2011-04-19,Plan A,6,7,Pink Panda,Yes
Apple.B,,애플비,2017-08-01,GH,5,5,,No
April,,에이프릴,2015-08-24,DSP,6,6,Fineapple,Yes
Ariaz,,아리아즈,2019-10-23,Rising Star,6,6,,Yes
Baby V.O.X,,베이비복스,1997-07-05,DR Music,5,5,,No
Badkiz,,배드키즈,2014-03-24,Zoo,5,5,,Yes
Berry Good,,베리굿,2014-05-21,Asia Bridge,6,5,,Yes
BESTie,,베스티,2013-07-11,YNB,4,4,BESTiny,No
BLACKPINK,,블랙핑크,2016-08-08,YG,4,4,,Yes
Blady,,블레이디,2011-05-16,Star Planet,5,4,Hi ade,No
Bloomy,,블루미,2016-02-01,DS,4,4,,Yes
Bob Girls,,단발머리,2014-06-10,Chrome,4,4,,No
Bolbbalgan4,BOL4,볼빨간사춘기,2016-04-22,Shofar,2,2,,Yes
Bonus Baby,,보너스베이비,2017-01-01,Maroo,6,6,,Hiatus
Brave Girls,,브레이브걸스,2011-03-31,Brave,5,5,,Yes
Brown Eyed Girls,B.E.G.,브라운 아이드 걸스,2006-03-02,Mystic,4,4,Everlasting,Yes
Bulldok,,불독,2016-10-20,Kconic,5,3,,No
Busters,,버스터즈,2017-11-27,JTG,5,5,Bu-Chu,Yes
BVNDIT,,밴디트,2019-04-10,MNH,5,5,,Yes
C-REAL,,씨리얼,2011-10-11,NAP,3,5,,No
Camila,,카밀라,2018-08-29,Camila,3,3,,No
