music_names,urls
About Time,https://genius.com/Cosmic-boy-about-time-lyrics
Absolute,https://genius.com/Ab6ix-absolute-lyrics
Addict,https://genius.com/Sik-k-korean-addict-lyrics
After You've Gone,https://genius.com/Mc-the-max-after-youve-gone-lyrics
Again,https://genius.com/Melomance-again-lyrics
Ah Yeah,https://genius.com/Winner-ah-yeah-lyrics
Airplane,https://genius.com/Izone-airplane-lyrics
Airplane,https://genius.com/Junho-from-2pm-airplane-lyrics
Airplane Mode,https://genius.com/Hash-swan-airplane-mode-lyrics
Alcoholic,https://genius.com/Yunb-alcoholic-lyrics
Alien,https://genius.com/Pentagon-korea-alien-lyrics
All Day (Korean Version),https://genius.com/Lee-minhyuk-all-day-korean-ver-lyrics
All I Do,https://genius.com/Verivery-all-i-do-lyrics
Alligator,https://genius.com/Monsta-x-alligator-lyrics
All Night,https://genius.com/Astro-k-pop-all-night-lyrics
Allure,https://genius.com/Hyomin-allure-lyrics
Allure (Jazz Ver.),https://genius.com/Hyomin-allure-jazz-ver-lyrics
Almost Blue,https://genius.com/Mc-the-max-almost-blue-lyrics
Alright,https://genius.com/Ph-1-alright-lyrics
Alright!,https://genius.com/Verivery-alright-lyrics
Alone,https://genius.com/Gummy-alone-lyrics
Always Be With You,https://genius.com/Baek-a-yeon-always-be-with-you-lyrics
Always Be Your Girl,https://genius.com/Sis-korea-always-be-your-girl-lyrics
Always Difficult Always Beautiful,https://genius.com/Wooseok-x-kuanlin-always-difficult-always-beautiful-lyrics
And There Was No One Left,https://genius.com/Dreamcatcher-and-there-was-no-one-left-lyrics
Angel,https://genius.com/Chancellor-korean-angel-lyrics
A Nuptial Song,https://genius.com/Hong-dae-kwang-a-nuptial-song-lyrics
A Rounded Stone,https://genius.com/Yoon-jong-shin-a-rounded-stone-lyrics
Arrow,https://genius.com/Hash-swan-arrow-lyrics
Artistic Groove,https://genius.com/Taemin-artistic-groove-lyrics
A Sad Night Track,https://genius.com/Code-kunst-a-sad-night-track-lyrics
A Starry Sky,https://genius.com/Gfriend-a-starry-sky-lyrics
Ausgang (ㅌxit),https://genius.com/Junoflo-ausgang-xit-lyrics
Awake,https://genius.com/Jbj95-awake-lyrics
A Walk to Goodbye,https://genius.com/Hwang-chi-yeul-a-walk-to-goodbye-part1-lyrics
Bad Bye,https://genius.com/Mamamoo-bad-bye-lyrics
Bad Habits,https://genius.com/Shaun-bad-habits-lyrics
Banana Chacha,https://genius.com/Momoland-banana-chacha-lyrics
Bass,https://genius.com/Nuest-bass-lyrics
Bbang,https://genius.com/Hby-bbang-lyrics
Be Ambitious!,https://genius.com/Bvndit-be-ambitious-lyrics
Beach,https://genius.com/Grizzly-korea-beach-lyrics
Beautiful Days,https://genius.com/Lovelyz-beautiful-days-lyrics
Beautiful Goodbye,https://genius.com/Chen-exo-beautiful-goodbye-lyrics
Bebe,https://genius.com/Kim-donghan-bebe-lyrics
Because I Love You,https://genius.com/Kang-min-kyung-because-i-love-you-lyrics
Begin Again,https://genius.com/Kim-jaehwan-begin-again-lyrics
Be Good,https://genius.com/Geegooin-be-good-lyrics
Bellboy,https://genius.com/Gxxd-girlnexxtdoor-bellboy-lyrics
Best Part,https://genius.com/Kidd-king-best-part-lyrics
Bet Bet,https://genius.com/Nuest-bet-bet-lyrics
Better Do Better,https://genius.com/Vanner-korea-better-do-better-lyrics
