,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Hope,Resurrection - The 3rd Album,H.O.T.,1998-09-01,260626,43,0.652,0.058,0.652,0.968,0.0,0.144,-3.883,0.0857,99.962,4
1,Couple,Special,SECHSKIES,1998-10-03,250066,43,0.793,0.0554,0.793,0.88,3.67e-05,0.497,-2.712,0.0319,110.025,4
2,거짓말 Lie,Chapter 3,god,2000-11-15,242333,10,0.803,0.216,0.803,0.431,0.0,0.0864,-8.271,0.328,133.861,4
3,Ruby,Fine Killing Liberty : Blue Rain,Fin.K.L,1998-05-25,251973,35,0.852,0.216,0.852,0.76,1.69e-06,0.245,-6.864,0.0355,105.022,4
4,Com` Back,Com` Back,SECHSKIES,1999-09-09,232160,33,0.673,0.0238,0.673,0.995,0.0,0.303,-2.6,0.129,144.007,4
5,Wild Eyes,"HEY, COME ON! - The 4th Album",SHINHWA,2001-06-01,201866,39,0.809,0.0142,0.809,0.883,0.0,0.12,-5.176,0.214,105.119,4
6,너를 사랑해,SHOO. EUGENE. SEA - The 2nd Album,S.E.S.,1998-11-23,216133,38,0.813,0.0482,0.813,0.846,0.0,0.0963,-4.082,0.039,103.0,4
7,Now,Now,Fin.K.L,2000-10-16,211426,36,0.815,0.0203,0.815,0.911,1.17e-05,0.22,-3.367,0.0586,118.004,4
8,"Hey, Come On!","HEY, COME ON! - The 4th Album",SHINHWA,2001-06-01,208440,31,0.794,0.0361,0.794,0.925,0.0,0.285,-4.842,0.121,103.025,4
9,Full of happiness,Wolf And Sheep,H.O.T.,1997-07-05,211373,41,0.768,0.0111,0.768,0.937,1.18e-06,0.177,-5.637,0.0523,133.046,4
10,Dreams Come True,SHOO. EUGENE. SEA - The 2nd Album,S.E.S.,1998-11-23,245773,49,0.706,0.0813,0.706,0.835,0.00165,0.336,-4.357,0.0506,93.943,4
11,T.O.P. (Twinkling Of Paradise),T.O.P - The 2nd Album,SHINHWA,1999-10-01,281760,35,0.638,0.0334,0.638,0.781,0.000351,0.085,-6.364,0.0519,87.994,4
12,Twilight Zone,LOVE - The 3rd Album,S.E.S.,1999-10-29,226173,31,0.762,0.0576,0.762,0.867,5.47e-05,0.152,-3.098,0.0486,99.996,4
13,사랑해 그리고 기억해 Love You and Remember You,Chapter 2,god,1999-11-15,262293,8,0.696,0.0267,0.696,0.569,0.0,0.0265,-5.234,0.145,167.978,4
14,White,Special,Fin.K.L,1999-11-26,234888,38,0.684,0.427,0.684,0.818,0.0,0.269,-9.063,0.0625,102.989,4
15,YO! 악동보고서,T.O.P - The 2nd Album,SHINHWA,1999-10-01,236733,28,0.554,0.0698,0.554,0.907,0.0,0.121,-6.052,0.316,180.024,3
16,백전무패 (百戰無敗),Click-B 3,Click-B,2001-04-03,235413,26,0.651,0.0501,0.651,0.981,0.0,0.35,-2.437,0.133,101.955,4
17,CANDY,We Hate All Kinds of Violence... - The 1st Album,H.O.T.,1996-09-07,217226,54,0.741,0.134,0.741,0.977,0.0,0.145,-2.318,0.044,119.988,4
18,Only One,Only One - The 3rd Album,SHINHWA,2000-10-01,234400,31,0.74,0.0181,0.74,0.69,0.0,0.0883,-6.241,0.0439,94.97,4
